scorebook,득점 기록부
spectacular,멋진
diving catch,다이빙 캐치
have game,수준 높은 경기력을 가지다
get by,그럭저럭 살아 나가다
base hit,안타
all-star,올스타
legendary,전설적인
self-respect,자존감
irrational,비합리적인
generous,관대한
admire,감탄하다
emotional,정서적인
intellectual,지적인
inspire,고무하다
deed,행동
rugged,다부지게 생긴
personally,직접
incredible,대단한
sacrifice,희생
ship,수송하다
argument,주장
charm,매력
unique,고유한
cosmos,우주
theorize,이론화하다
distinguished,저명한
anthropologist,인류학자
surround,둘러싸다
institution,제도
shoe shine,구두 닦기
avail oneself of,~을 이용하다
distinctly,참으로
indebted,신세를 진
even the score,빚을 청산하다
shoe tree,구두의 골
polish,광택제
rite,의례
observe,지키다
distinctive,독특한
superficial,무의미한
knit,결속하다
appropriate,적절한
frame of mind,마음의 자세
scrub,손을 씻다
procedure,수술
prolonged,오랫동안의
open to question,의문의 여지가 있는
advent,등장
delicate,신중을 요하는
undeniable,부인할 수 없는
first officer,부기장
inspection,점검
destination,목적지
performance-focused,성과 중심의
misguided,잘못 이해한
dogged,끈질긴
disapproval,비난
motivation,열의
discourage,의욕을 꺾다
paternal,아버지
appreciate,환영하다
contaminate,~에 나쁜 영향을 미치다
resentment,분노
fault,비난하다
foreign,생소한
a range of,다양한
white-coated,흰 상의를 입은
reaction,반응
statement,표현
equally,마찬가지로
moderate,절제하다
philosophy,주의
appreciation,이해
mute,약화하다
trait,자질
deprive of,~에게서 ~을 빼앗다
personally,개별적으로
perception,인식
relativity,상대성
inherent,내재하는
undue,과도한
rotate,선회하다
conscious,의식적인
acquire,습득하다
by accident,우연히
rigid,경직된
cross section,단면
term,용어
statistical significance,통계적 유의미성
unfortunate,적절하지 않은
refer to,~을 나타내다
reliably,신뢰할 만하게
conduct,행하다
phrase,말
assume,추정하다
depending on,~에 따라서
measure,척도
reliablity,신뢰도
interpret,해석하다
correctly,정확하게
ensure,틀림없이 ~하게 하다
represent,대표하다
existence,존속
perceive,인지하다
semiprivate,반사적인
occupy,차지하다
lot,부지
function as,~역할을 하다
intend,의도하다
head-on,승진
improve,향상하다
remedy,치료법
prescribe,처방하다
severe,심각한
beneficial,득이 되는
accordingly,그에 맞추어
golden years,노후
pat attention to,~에 관심을 가지다
physical,신체의
financial,재정의
retirement,은퇴
irrelevant,무관한
transform,변하게 하다
hinder,저해하다
fake,가짜의
wig,가발
complete,~을 완전하게 만들다
disguise,변장
tip of the iceberg,빙산의 일각
passionate,열정적인
instructor,강사
retain,유지하다
obsessively,집요하게
be unwilling to,~을 꺼리다
in disbilef,믿지 않는
sigh,한숨을 쉬다
wrinkled,주름이 있는
flat,아파트식 주거지
complex,단지
endure,견디다
solitude,고독
gradually,서서히
adapt to,~에 적응하다
experiment,실험
grocery store,식료품점
stuffy,고리타분한
reluctant,꺼리는
companionship,동료애
suffer,고통받다
peer,또래
guilty,죄책감이 드는
deceive,속이다
come clean,털어놓다
betray,배신하다
confession,고백
laugh off,~을 웃어넘기다
ignorant,무지한
embrace,받아들이다
interaction,교류
except for,~을 제외하고는
satisfying,만족스러운
weekday,평일
ambition,야망
regard A as B,A를 B로 여기다
tribe,집단
downtown,시내에
rush,재촉하다
annoyance,짜증
astonished,크게 놀란
disrespectful,무례한
invisible,보이지 않는
cheerful,기분 좋은
encounter,만나다
delightful,유쾌한
content with,~에 만족하는
inspire,고무하다
sit around,빈둥거리다
now that,~이기 때문에
stable,안정된
invaluable,매우 귀중한
go through,~을 겪다
conduct,하다
awareness,인식
trick,속임수
statistics,통계 자료
commercial,광고
come into contact with,~와 접촉하다
figure,수치
generally,일반적으로
rating,평점
review,논평
similarly,마찬가지로
fasten,착용하다
survive,생존하다
play an important role,중요한 역할을 하다
present,제시하다
unfortunately,안타깝게도
misuse,악용하다
sample,표본
liquid,액상의
soap,비누
claim,주장하다
independent,독립적인
laboratory,실험실
guarantee,보장하다
agancy,대행사
noticeable,뚜렷한
defective,결함이 있는
a wide range of,다양한
misleading,오해의 소지가 있는
purpose,목적
random,무작위의
survey,조사
atmosphere,분위기
fill out,~을 작성하다
normal,보통의
reaction,반응
voluntary,자발적인
sampling,표본 추출
biased,편향된
in favor of,~에 지지하여
underrepresent,실제보다 적게
moderate,중도의
leap to concludions,성급한 결론을 내리다
trap,함정
corporation,기업
employee,직원
well-playing,보수가 좋은
recruit,뽑다
competent,유능한
deal with,~을 다루다
instinct,직관
improvisatory,즉흥의
ignore,무시하다
be bound to do,반드시 ~하다
emphasize,강조하다
jam,즉흥 연주를 하다
stable,안정적인
drill A into B,B에게 A를 주입시키다
suffer,더 나빠지다
install,자리 잡게 하다
a fund of,많은
obtain,얻다
improviser,즉흥 연주자
play air guitar,기타 연주 흉내를 내다
intellectual,지적인
in retrospect of,돌이켜 보면
driving force,원동력
advance,진보
accompany,수반하다
transaction,거래
keep track of,~을 기억하다
dominate,~의 두드러진 특징이 되다
wheel and deal,이익을 얻기 위해 복잡한 거래를 영악하게 하다
bet,내기
contract,계약서
profit,이윤
literary,문학
associate with,~와 연관 짓다
receipt,영수증
commercial,상업의
enterprise,사업
